"Consumption_ID";"Region_ID";"Date";"Energy_Consumed"
1;1;"2024-01-01";50000.0
2;1;"2024-02-01";52000.0
3;1;"2024-03-01";53000.0
4;1;"2024-04-01";54000.0
5;1;"2024-05-01";55000.0
6;2;"2024-01-01";30000.0
7;2;"2024-02-01";31000.0
8;2;"2024-03-01";32000.0
9;2;"2024-04-01";33000.0
10;2;"2024-05-01";34000.0
11;3;"2024-01-01";40000.0
12;3;"2024-02-01";42000.0
13;3;"2024-03-01";43000.0
14;3;"2024-04-01";44000.0
15;3;"2024-05-01";45000.0
16;4;"2024-01-01";25000.0
17;4;"2024-02-01";26000.0
18;4;"2024-03-01";27000.0
19;4;"2024-04-01";28000.0
20;4;"2024-05-01";29000.0
